,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24,0.46871225039164227,0.002166878343584579,0.3910990556081136,0.007645349286708961,0.1,10.0,"{'C': 0.1, 'gamma': 10.0}",0.033081519190155007,0.0012116176612404495,0.04185932661606906,0.025384154489154837,0.01746417529924743,37
25,0.5326663653055826,0.02809044396642186,0.47596534093221027,0.06579523948440963,0.1,100.0,"{'C': 0.1, 'gamma': 100.0}",0.03308395800647512,0.0012144161781946217,0.04186836012662187,0.025388911437097206,0.017466083245710574,35
26,0.48780393600463867,0.04034223431460568,0.3881204128265381,0.047534588525844586,0.1,1000.0,"{'C': 0.1, 'gamma': 1000.0}",0.03308395800647512,0.0012144161781946217,0.04186836012662187,0.025388911437097206,0.017466083245710574,35
27,0.3834985097249349,0.011058924822654964,0.32454411188761395,0.010760576057533153,1.0,1e-05,"{'C': 1.0, 'gamma': 1e-05}",0.014562782952466935,-0.016446000694764207,0.02083276933797984,0.006316517198560856,0.016297798377932052,39
28,0.39776984850565594,0.023653875215605615,0.32595157623291016,0.01058132097378773,1.0,0.0001,"{'C': 1.0, 'gamma': 0.0001}",0.08034103422948624,0.08529489212713903,0.11659271262801474,0.09407621299488,0.016049501421420163,17
29,0.36268417040507,0.003077969896606786,0.30775992075602215,0.0006499345080590197,1.0,0.001,"{'C': 1.0, 'gamma': 0.001}",0.13455804306371177,0.2051094747942983,0.21509944706944517,0.1849223216424851,0.03584569062044292,6
30,0.40447497367858887,0.05089554940141511,0.32383982340494794,0.01891326965040929,1.0,0.01,"{'C': 1.0, 'gamma': 0.01}",0.1613003477092888,0.26961782259421396,0.23762837727990616,0.22284884919446965,0.04543856423188533,1
31,0.3594666322072347,0.0044507019251671595,0.31304486592610675,0.009557803900421352,1.0,0.1,"{'C': 1.0, 'gamma': 0.1}",0.13653079870231466,0.20279606391306992,0.2272186065432763,0.18884848971955362,0.03831423357937645,5
32,0.36694685618082684,0.002122841561617937,0.3115986188252767,0.00402973090790701,1.0,1.0,"{'C': 1.0, 'gamma': 1.0}",0.06895192827656338,0.052175784012352566,0.08956748852195218,0.07023173360362271,0.01529190020434958,26
33,0.42218764623006183,0.013089897435365264,0.33731786410013836,0.00435006227770543,1.0,10.0,"{'C': 1.0, 'gamma': 10.0}",0.06628446423668544,0.04744372277104092,0.07453220240186298,0.06275346313652978,0.01133717803671739,30
34,0.4188743432362874,0.0023888395851553736,0.36060547828674316,0.02688450892450713,1.0,100.0,"{'C': 1.0, 'gamma': 100.0}",0.06628512866919067,0.04745279192400309,0.07454623097852009,0.06276138385723795,0.011338024315697732,28
35,0.42977341016133624,0.021450149033547097,0.3448150157928467,0.010779826399282806,1.0,1000.0,"{'C': 1.0, 'gamma': 1000.0}",0.06628512866919067,0.04745279192400309,0.07454623097852009,0.06276138385723795,0.011338024315697732,28
36,0.3817390600840251,0.025775442352128797,0.31975118319193524,0.006019255348111974,10.0,1e-05,"{'C': 10.0, 'gamma': 1e-05}",0.08058810055234655,0.08561859865203925,0.11699748447447589,0.09440139455962056,0.01610929208796221,16
